"country1","country2"
"Brazil","Venezuela"
"Brunei","Malaysia"
"Bulgaria","Greece"
"Bulgaria","Macedonia"
"Bulgaria","Romania"
"Bulgaria","Serbia"
"Bulgaria","Turkey"
"Burkina Faso","Benin"
"Burkina Faso","Cote dIvoire"
"Burkina Faso","Ghana"
"Burkina Faso","Mali"
"Burkina Faso","Niger"
"Burkina Faso","Togo"
"Burundi","Rwanda"
"Burundi","Tanzania"
"Burundi","Zaire"
"Cambodia","Laos"
"Cambodia","Thailand"
"Cambodia","Vietnam"
"Cameroon","Central African Republic"
"Cameroon","Chad"
"Cameroon","Congo"
"Cameroon","Equatorial Guinea"
"Cameroon","Gabon"
"Cameroon","Nigeria"
"Canada","United States"
"Central African Republic","Cameroon"
"Central African Republic","Chad"
"Central African Republic","Congo"
"Central African Republic","South Sudan"
"Central African Republic","Sudan"
"Central African Republic","Zaire"
"Ceuta","Morocco"
"Chad","Cameroon"
"Chad","Central African Republic"
"Chad","Libya"
"Chad","Niger"
"Chad","Nigeria"
"Chad","Sudan"
"Chile","Argentina"
"Chile","Bolivia"
"Chile","Peru"
"China","Afghanistan"
"China","Bhutan"
"China","Hong Kong"
"China","India"
"China","Kazakhstan"
"China","Kyrgyzstan"
"China","Laos"
"China","Macao"
"China","Mongolia"
"China","Myanmar"
"China","Nepal"
"China","North Korea"
"China","Pakistan"
"China","Russia"
"China","Tajikistan"
"China","Vietnam"
"Colombia","Brazil"
"Colombia","Ecuador"
"Colombia","Panama"
"Colombia","Peru"
"Colombia","Venezuela"
"Congo","Angola"
"Congo","Cameroon"
"Congo","Central African Republic"
"Congo","Gabon"
"Congo","Zaire"
"Costa Rica","Nicaragua"
"Costa Rica","Panama"
"Cote dIvoire","Burkina Faso"
"Cote dIvoire","Ghana"
"Cote dIvoire","Guinea"
"Cote dIvoire","Liberia"
"Cote dIvoire","Mali"
"Croatia","Bosnia and Herzegovina"
"Croatia","Hungary"
"Croatia","Montenegro"
"Croatia","Serbia"
"Croatia","Slovenia"
"Czech Republic","Austria"
"Czech Republic","Germany"
"Czech Republic","Poland"
"Czech Republic","Slovakia"
"Denmark","Germany"
"Djibouti","Eritrea"
"Djibouti","Ethiopia"
"Djibouti","Somalia"
"Dominican Republic","Haiti"
"Ecuador","Colombia"
"Ecuador","Peru"
"Egypt","Gaza Strip"
"Egypt","Israel"
"Egypt","Libya"
"Egypt","Sudan"
"El Salvador","Guatemala"
"El Salvador","Honduras"
"Equatorial Guinea","Cameroon"
"Equatorial Guinea","Gabon"
"Eritrea","Djibouti"
"Eritrea","Ethiopia"
"Eritrea","Sudan"
"Estonia","Latvia"
"Estonia","Russia"
"Ethiopia","Djibouti"
"Ethiopia","Eritrea"
"Ethiopia","Kenya"
"Ethiopia","Somalia"
"Ethiopia","South Sudan"
"Ethiopia","Sudan"
"Finland","Norway"
"Finland","Russia"
"Finland","Sweden"
"France","Andorra"
"France","Belgium"
"France","Germany"
"France","Italy"
"France","Luxembourg"
"France","Monaco"
"France","Spain"
"France","Switzerland"
"French Guiana","Brazil"
"French Guiana","Suriname"
"Gabon","Cameroon"
"Gabon","Congo"
"Gabon","Equatorial Guinea"
"Gambia","Senegal"
"Gaza Strip","Egypt"
"Gaza Strip","Israel"
"Georgia","Armenia"
"Georgia","Azerbaijan"
"Georgia","Russia"
"Georgia","Turkey"
"Germany","Austria"
"Germany","Belgium"
"Germany","Czech Republic"
"Germany","Denmark"
"Germany","France"
"Germany","Luxembourg"
"Germany","Netherlands"
"Germany","Poland"
"Germany","Switzerland"
"Ghana","Burkina Faso"
"Ghana","Cote dIvoire"
"Ghana","Togo"
"Gibraltar","Spain"
"Greece","Albania"
"Greece","Bulgaria"
"Greece","Macedonia"
"Greece","Turkey"
"Guatemala","Belize"
"Guatemala","El Salvador"
"Guatemala","Honduras"
"Guatemala","Mexico"
"Guinea","Cote dIvoire"
"Guinea","Guinea-Bissau"
"Guinea","Liberia"
"Guinea","Mali"
"Guinea","Senegal"
"Guinea","Sierra Leone"
"Guinea-Bissau","Guinea"
"Guinea-Bissau","Senegal"
"Guyana","Brazil"
"Guyana","Suriname"
"Guyana","Venezuela"
"Haiti","Dominican Republic"
"Holy See","Italy"
"Honduras","El Salvador"
"Honduras","Guatemala"
"Honduras","Nicaragua"
"Hong Kong","China"
"Hungary","Austria"
"Hungary","Croatia"
"Hungary","Romania"
"Hungary","Serbia"
"Hungary","Slovakia"
"Hungary","Slovenia"
"Hungary","Ukraine"
"India","Bangladesh"
"India","Bhutan"
"India","China"
"India","Myanmar"
"India","Nepal"
"India","Pakistan"
"Indonesia","Malaysia"
"Indonesia","Papua New Guinea"
"Indonesia","Timor-Leste"
"Iran","Afghanistan"
"Iran","Armenia"
"Iran","Azerbaijan"
"Iran","Iraq"
"Iran","Pakistan"
"Iran","Turkey"
"Iran","Turkmenistan"
"Iraq","Iran"
"Iraq","Jordan"
"Iraq","Kuwait"
"Iraq","Saudi Arabia"
"Iraq","Syria"
"Iraq","Turkey"
"Israel","Egypt"
"Israel","Gaza Strip"
"Israel","Jordan"
"Israel","Lebanon"
"Israel","Syria"
"Israel","West Bank"
"Italy","Austria"
"Italy","France"
"Italy","Holy See"
"Italy","San Marino"
"Italy","Slovenia"
"Italy","Switzerland"
"Jordan","Iraq"
"Jordan","Israel"
"Jordan","Saudi Arabia"
"Jordan","Syria"
"Jordan","West Bank"
"Kazakhstan","China"
"Kazakhstan","Kyrgyzstan"
"Kazakhstan","Russia"
"Kazakhstan","Turkmenistan"
"Kazakhstan","Uzbekistan"
"Kenya","Ethiopia"
"Kenya","Somalia"
"Kenya","South Sudan"
"Kenya","Tanzania"
"Kenya","Uganda"
"Kosovo","Albania"
"Kosovo","Macedonia"
"Kosovo","Montenegro"
"Kosovo","Serbia"
"Kuwait","Iraq"
"Kuwait","Saudi Arabia"
"Kyrgyzstan","China"
"Kyrgyzstan","Kazakhstan"
"Kyrgyzstan","Tajikistan"
"Kyrgyzstan","Uzbekistan"
"Laos","Cambodia"
"Laos","China"
"Laos","Myanmar"
"Laos","Thailand"
"Laos","Vietnam"
"Latvia","Belarus"
"Latvia","Estonia"
"Latvia","Lithuania"
"Latvia","Russia"
"Lebanon","Israel"
"Lebanon","Syria"
"Lesotho","South Africa"
"Liberia","Cote dIvoire"
"Liberia","Guinea"
"Liberia","Sierra Leone"
"Libya","Algeria"
"Libya","Chad"
"Libya","Egypt"
"Libya","Niger"
"Libya","Sudan"
"Libya","Tunisia"
"Liechtenstein","Austria"
"Liechtenstein","Switzerland"
"Lithuania","Belarus"
"Lithuania","Latvia"
"Lithuania","Poland"
"Lithuania","Russia"
"Luxembourg","Belgium"
"Luxembourg","France"
"Luxembourg","Germany"
"Macao","China"
"Macedonia","Albania"
"Macedonia","Bulgaria"
"Macedonia","Greece"
"Macedonia","Kosovo"
"Macedonia","Serbia"
"Malawi","Mozambique"
"Malawi","Tanzania"
"Malawi","Zambia"
"Malaysia","Brunei"
"Malaysia","Indonesia"
"Malaysia","Thailand"
"Mali","Algeria"
"Mali","Burkina Faso"
"Mali","Cote dIvoire"
"Mali","Guinea"
"Mali","Mauritania"
"Mali","Niger"
"Mali","Senegal"
"Mauritania","Algeria"
"Mauritania","Mali"
"Mauritania","Senegal"
"Mauritania","Western Sahara"
"Melilla","Morocco"
"Mexico","Belize"
"Mexico","Guatemala"
"Mexico","United States"
"Moldova","Romania"
"Moldova","Ukraine"
"Monaco","France"
"Mongolia","China"
"Mongolia","Russia"
"Montenegro","Albania"
"Montenegro","Bosnia and Herzegovina"
"Montenegro","Croatia"
"Montenegro","Kosovo"
"Montenegro","Serbia"
"Morocco","Algeria"
"Morocco","Ceuta"
"Morocco","Melilla"
"Morocco","Western Sahara"
"Mozambique","Malawi"
"Mozambique","South Africa"
"Mozambique","Swaziland"
"Mozambique","Tanzania"
"Mozambique","Zambia"
"Mozambique","Zimbabwe"
"Myanmar","Bangladesh"
"Myanmar","China"
"Myanmar","India"
"Myanmar","Laos"
"Myanmar","Thailand"
"Namibia","Angola"
"Namibia","Botswana"
"Namibia","South Africa"
"Namibia","Zambia"
"Nepal","China"
"Nepal","India"
"Netherlands","Belgium"
"Netherlands","Germany"
"Nicaragua","Costa Rica"
"Nicaragua","Honduras"
"Niger","Algeria"
"Niger","Benin"
"Niger","Burkina Faso"
"Niger","Chad"
"Niger","Libya"
"Niger","Mali"
"Niger","Nigeria"
"Nigeria","Benin"
"Nigeria","Cameroon"
"Nigeria","Chad"
"Nigeria","Niger"
"North Korea","China"
"North Korea","Russia"
"North Korea","South Korea"
"Norway","Finland"
"Norway","Russia"
"Norway","Sweden"
"Oman","Saudi Arabia"
"Oman","United Arab Emirates"
"Oman","Yemen"
"Pakistan","Afghanistan"
"Pakistan","China"
"Pakistan","India"
"Pakistan","Iran"
"Panama","Colombia"
"Panama","Costa Rica"
"Papua New Guinea","Indonesia"
"Paraguay","Argentina"
"Paraguay","Bolivia"
"Paraguay","Brazil"
"Peru","Bolivia"
"Peru","Brazil"
"Peru","Chile"
"Peru","Colombia"
"Peru","Ecuador"
"Poland","Belarus"
"Poland","Czech Republic"
"Poland","Germany"
"Poland","Lithuania"
"Poland","Russia"
"Poland","Slovakia"
"Poland","Ukraine"
"Portugal","Spain"
"Qatar","Saudi Arabia"
"Romania","Bulgaria"
"Romania","Hungary"
"Romania","Moldova"
"Romania","Serbia"
"Romania","Ukraine"
"Russia","Azerbaijan"
"Russia","Belarus"
"Russia","China"
"Russia","Estonia"
"Russia","Finland"
"Russia","Georgia"
"Russia","Kazakhstan"
"Russia","Latvia"
"Russia","Lithuania"
"Russia","Mongolia"
"Russia","North Korea"
"Russia","Norway"
"Russia","Poland"
"Russia","Ukraine"
"Rwanda","Burundi"
"Rwanda","Tanzania"
"Rwanda","Uganda"
"Rwanda","Zaire"
"Saint Martin","Saint Martin"
"San Marino","Italy"
"Saudi Arabia","Iraq"
"Saudi Arabia","Jordan"
"Saudi Arabia","Kuwait"
"Saudi Arabia","Oman"
"Saudi Arabia","Qatar"
"Saudi Arabia","United Arab Emirates"
"Saudi Arabia","Yemen"
"Senegal","Gambia"
"Senegal","Guinea"
"Senegal","Guinea-Bissau"
"Senegal","Mali"
"Senegal","Mauritania"
"Serbia","Bosnia and Herzegovina"
"Serbia","Bulgaria"
"Serbia","Croatia"
"Serbia","Hungary"
"Serbia","Kosovo"
"Serbia","Macedonia"
"Serbia","Montenegro"
"Serbia","Romania"
"Sierra Leone","Guinea"
"Sierra Leone","Liberia"
"Sint Maarten","Saint Martin"
"Slovakia","Austria"
"Slovakia","Czech Republic"
"Slovakia","Hungary"
"Slovakia","Poland"
"Slovakia","Ukraine"
"Slovenia","Austria"
"Slovenia","Croatia"
"Slovenia","Hungary"
"Slovenia","Italy"
"Somalia","Djibouti"
"Somalia","Ethiopia"
"Somalia","Kenya"
"South Africa","Botswana"
"South Africa","Lesotho"
"South Africa","Mozambique"
"South Africa","Namibia"
"South Africa","Swaziland"
"South Africa","Zimbabwe"
"South Korea","North Korea"
"South Sudan","Central African Republic"
"South Sudan","Ethiopia"
"South Sudan","Kenya"
"South Sudan","Sudan"
"South Sudan","Uganda"
"South Sudan","Zaire"
"Spain","Andorra"
"Spain","France"
"Spain","Gibraltar"
"Spain","Portugal"
"Sudan","Central African Republic"
"Sudan","Chad"
"Sudan","Egypt"
"Sudan","Eritrea"
"Sudan","Ethiopia"
"Sudan","Libya"
"Sudan","South Sudan"
"Suriname","Brazil"
"Suriname","French Guiana"
"Suriname","Guyana"
"Swaziland","Mozambique"
"Swaziland","South Africa"
"Sweden","Finland"
"Sweden","Norway"
"Switzerland","Austria"
"Switzerland","France"
"Switzerland","Germany"
"Switzerland","Italy"
"Switzerland","Liechtenstein"
"Syria","Iraq"
"Syria","Israel"
"Syria","Jordan"
"Syria","Lebanon"
"Syria","Turkey"
"Tajikistan","Afghanistan"
"Tajikistan","China"
"Tajikistan","Kyrgyzstan"
"Tajikistan","Uzbekistan"
"Tanzania","Burundi"
"Tanzania","Kenya"
"Tanzania","Malawi"
"Tanzania","Mozambique"
"Tanzania","Rwanda"
"Tanzania","Uganda"
"Tanzania","Zaire"
"Tanzania","Zambia"
"Thailand","Cambodia"
"Thailand","Laos"
"Thailand","Malaysia"
"Thailand","Myanmar"
"Timor-Leste","Indonesia"
"Togo","Benin"
"Togo","Burkina Faso"
"Togo","Ghana"
"Tunisia","Algeria"
"Tunisia","Libya"
"Turkey","Armenia"
"Turkey","Azerbaijan"
"Turkey","Bulgaria"
"Turkey","Georgia"
"Turkey","Greece"
"Turkey","Iran"
"Turkey","Iraq"
"Turkey","Syria"
"Turkmenistan","Afghanistan"
"Turkmenistan","Iran"
"Turkmenistan","Kazakhstan"
"Turkmenistan","Uzbekistan"
"Uganda","Kenya"
"Uganda","Rwanda"
"Uganda","South Sudan"
"Uganda","Tanzania"
"Uganda","Zaire"
"Ukraine","Belarus"
"Ukraine","Hungary"
"Ukraine","Moldova"
"Ukraine","Poland"
"Ukraine","Romania"
"Ukraine","Russia"
"Ukraine","Slovakia"
"United Arab Emirates","Oman"
"United Arab Emirates","Saudi Arabia"
"United Kingdom","Ireland"
"United States","Canada"
"United States","Mexico"
"Uruguay","Argentina"
"Uruguay","Brazil"
"Uzbekistan","Afghanistan"
"Uzbekistan","Kazakhstan"
"Uzbekistan","Kyrgyzstan"
"Uzbekistan","Tajikistan"
"Uzbekistan","Turkmenistan"
"Venezuela","Brazil"
"Venezuela","Colombia"
"Venezuela","Guyana"
"Vietnam","Cambodia"
"Vietnam","China"
"Vietnam","Laos"
"West Bank","Israel"
"West Bank","Jordan"
"Western Sahara","Algeria"
"Western Sahara","Mauritania"
"Western Sahara","Morocco"
"Yemen","Oman"
"Yemen","Saudi Arabia"
"Zaire","Angola"
"Zaire","Burundi"
"Zaire","Central African Republic"
"Zaire","Congo"
"Zaire","Rwanda"
"Zaire","South Sudan"
"Zaire","Tanzania"
"Zaire","Uganda"
"Zaire","Zambia"
"Zambia","Angola"
"Zambia","Malawi"
"Zambia","Mozambique"
"Zambia","Namibia"
"Zambia","Tanzania"
"Zambia","Zaire"
"Zambia","Zimbabwe"
"Zimbabwe","Botswana"
"Zimbabwe","Mozambique"
"Zimbabwe","South Africa"
"Zimbabwe","Zambia"
